CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7073	7137	9	0.9554	-58.042
4908	6054	9	0.9717	-0.001
8028	9192	9	0.9621	-0.000
4661	6301	9	0.9249	46.005
4654	5066	9	0.9272	15.994
7073	8163	9	0.9645	-28.031
7913	9980	9	0.952	-122.166
5628	6486	9	0.928	-17.966
6132	6858	9	0.9621	88.016
6539	8729	9	0.931	-60.022
4257	7647	9	0.9749	119.876
7090	8038	9	0.9625	-9.919
8405	9363	9	0.9894	15.995
8038	8405	9	0.9824	0.000
7323	7810	9	0.9652	0.000
7124	8729	9	0.9385	-0.001
7908	8745	9	0.9712	162.008
4257	10016	9	0.9433	-110.290
7073	8038	9	0.9618	-111.987
6486	6858	9	0.9432	63.972
5628	6301	9	0.9217	30.011
7544	7632	9	0.9641	88.052
7040	7137	9	0.9592	-14.016
8038	9363	9	0.9879	15.996
7090	7602	9	0.964	44.027
8405	8745	9	0.9679	-0.000
5834	6132	9	0.9575	-72.021
6054	7124	9	0.94	0.003
6054	8400	9	0.9615	0.001
5086	6272	9	0.9355	18.011
3860	7124	9	0.9532	15.996
6747	7810	9	0.9804	0.000
5086	6301	9	0.9665	46.006
4313	5066	9	0.9384	15.995
5066	5628	9	0.9396	15.995
4257	8038	9	0.9701	-22.122
4908	6539	9	0.9538	60.022
4313	4661	9	0.9343	15.995
5066	5086	9	0.9793	0.000
4908	5834	9	0.9634	30.011
4746	5086	9	0.9672	-0.001
8729	9192	9	0.9606	-0.000
7632	8038	9	0.9704	-97.972
7073	8136	9	0.9601	-72.058
4313	4478	9	0.9273	0.000
8979	9887	9	0.9317	0.000
4313	5628	9	0.9416	31.989
9473	9779	9	0.9861	-0.000
7073	7602	9	0.9537	-58.042
4746	5066	9	0.9639	-0.001
7544	7602	9	0.9566	44.026
5834	9192	9	0.9495	-30.011
7632	10376	9	0.9752	-138.087
9980	10700	9	0.9515	-28.031
7073	7632	9	0.9665	-14.015
6582	9980	9	0.9426	-138.140
4313	4746	9	0.9203	15.995
6132	8028	9	0.9674	42.011
5066	6301	9	0.9496	46.006
6132	9192	9	0.9445	42.011
9410	11194	9	0.9414	-118.078
2369	7270	9	0.9308	-65.225
10011	11094	9	0.9236	0.000
3290	7908	9	0.9847	-274.140
9363	10016	9	0.9504	-104.164
6054	6539	9	0.9557	60.023
4908	6858	9	0.9563	46.006
4257	10376	9	0.9749	-62.237
6132	8400	9	0.9564	42.011
7647	10564	9	0.9792	-182.113
6887	7040	9	0.9244	-10.042
7073	9363	9	0.9688	-95.992
10933	11094	9	0.9857	0.000
7137	9363	9	0.9724	-37.950
5211	8028	9	0.9692	-0.000
7073	7090	9	0.9608	-102.069
7647	10016	9	0.9475	-230.166
6747	7323	9	0.9773	0.000
10016	10376	9	0.9483	48.053
6132	6539	9	0.9559	102.032
4313	4654	9	0.9263	0.000
7090	8163	9	0.962	74.037
8774	11194	9	0.9456	-118.077
6970	8163	9	0.9239	104.047
8368	9473	9	0.927	-148.089
4478	4654	9	0.9197	0.000
6970	7602	9	0.9244	74.036
7194	9980	9	0.9559	-108.148
7647	8216	9	0.9498	-169.956
7323	8216	9	0.954	-17.966
10686	10965	10	0.8519	-0.000
10686	10832	10	0.7706	-37.991
3803	3995	11	0.7333	-26.052
3994	4921	11	0.8995	0.000
4925	4956	11	0.8869	-24.036
4944	6610	11	0.7871	-2.016
6610	6613	11	0.7397	-18.010
3995	6615	11	0.8016	-26.052
3995	4921	11	0.8672	23.016
4920	4944	11	0.8179	-24.036
3995	4956	11	0.88	-24.036
4920	4921	11	0.8433	-18.010
2462	4925	11	0.7426	-16.055
4921	4956	11	0.8073	-47.052
4920	4925	11	0.7264	-41.027
6610	6615	11	0.7253	-41.026
3994	6610	11	0.7517	-8.042
3994	4925	11	0.8165	-23.016
3992	4921	11	0.8161	-18.010
4921	6610	11	0.8059	-8.042
3995	4925	11	0.9698	-0.000
